theme,file,evidence
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"students don't use prompt, they drag the walls and the drag the solar"
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,panel from the bottoms to add solar panels.
Solar / passive solar / net-zero,Recording 3_ Jose_Transcript.doc,And I'm mainly interested in hearing about your experience of using AI to design your net zero house and no right or wrong answer.
Solar / passive solar / net-zero,Recording 3_ Jose_Transcript.doc,"And then I saw like it reserved a lot of energy, it didn't and it didn't like waste like the heater or the ac they save like a lot of energy and use a lot of solar energy."
Solar / passive solar / net-zero,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",The solar panels can bring down the energy level of the net.
Solar / passive solar / net-zero,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc","Researcher 02:41 The solar panels, it generates energy."
Solar / passive solar / net-zero,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",Student2 03:09 I just kept on adding solar panels to the house.
Solar / passive solar / net-zero,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",Researcher 03:11 What else you tried other than adding solar panels?
Solar / passive solar / net-zero,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc","So adding more windows for the sunlight,"
Solar / passive solar / net-zero,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","I can't really get much into it by the definitely learn stuff about like the solar energy about how to conserve it, how like the heating works in different months and like in different places?"
Solar / passive solar / net-zero,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Student1 08:19 for like my prompts, like you can like, you can put a very specific stuff in the prompts like you say, like added, like I when they first generate the house, you can feel like add a solar panel roof."
Solar / passive solar / net-zero,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Researcher 08:41 adding this little more solar panels,"
Solar / passive solar / net-zero,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc",I looked it up like he only look it up and stuff and then add like the different things like I had the solar panels and stuff to save the energy.
Solar / passive solar / net-zero,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","It said, I I remember much, but it said, like add a insulation, solar panel."
Solar / passive solar / net-zero,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Researcher 11:40 isolation, solar panel,"
Solar / passive solar / net-zero,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Like and like you can, but it won't be as fast and also like ai sometimes they misunderstand."
Solar / passive solar / net-zero,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Researcher 13:01 by the way, does like the air they used misunderstood your your prompt in some way."
Solar / passive solar / net-zero,Recording 6_Kylie and Mina(2)_Transcript.doc,"Other than, like, you can save a lot of energy, if you like, install solar panels on your room, light helps to save energy because you collect energy from the sun."
Solar / passive solar / net-zero,Recording 6_Kylie and Mina(2)_Transcript.doc,I need the solar panels and the windows.
Solar / passive solar / net-zero,Recording 6_Kylie and Mina(2)_Transcript.doc,"I also use solar panels and windows by the outside the trees like in front of the window, so likes like one like get in the house."
Solar / passive solar / net-zero,Recording 6_Kylie and Mina(2)_Transcript.doc,"probably house like kyle did with like one million thousand solar panels, like, yeah, that's not possible in real life,"
Windows / sunlight / radiant heat,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"Student2 02:11 the lights, like where the sun hits, the house and like the mountain windows you used."
Windows / sunlight / radiant heat,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,The sunlight going into the house and the heat and stuff like that.
Windows / sunlight / radiant heat,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,The sunlight going into the house and the heat and stuff like that.
Windows / sunlight / radiant heat,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",Student1 03:14 More windows?
Windows / sunlight / radiant heat,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",Researcher 03:18 Why more windows.
Windows / sunlight / radiant heat,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc","So adding more windows for the sunlight,"
Windows / sunlight / radiant heat,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","It like in the software, you can meet with a big window."
Windows / sunlight / radiant heat,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Student1 08:19 for like my prompts, like you can like, you can put a very specific stuff in the prompts like you say, like added, like I when they first generate the house, you can feel like add a solar panel roof."
Windows / sunlight / radiant heat,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Student1 08:42 or like, or even like the editor, you can like edit the windows,"
Windows / sunlight / radiant heat,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Researcher 08:49 edit the windows,"
Windows / sunlight / radiant heat,Recording 6_Kylie and Mina(2)_Transcript.doc,I do think it told me something about my windows that it was letting a lot of light into the house.
Windows / sunlight / radiant heat,Recording 6_Kylie and Mina(2)_Transcript.doc,You have the window stuff that's interesting.
Windows / sunlight / radiant heat,Recording 6_Kylie and Mina(2)_Transcript.doc,I need the solar panels and the windows.
Windows / sunlight / radiant heat,Recording 6_Kylie and Mina(2)_Transcript.doc,"Sometimes you have to make them smaller, like more of them but smaller, or you could do less windows but make them bigger."
Windows / sunlight / radiant heat,Recording 6_Kylie and Mina(2)_Transcript.doc,So you try different size of windows.
Windows / sunlight / radiant heat,Recording 6_Kylie and Mina(2)_Transcript.doc,"I also use solar panels and windows by the outside the trees like in front of the window, so likes like one like get in the house."
Windows / sunlight / radiant heat,Recording 6_Kylie and Mina(2)_Transcript.doc,"you, same thing like it's more focused like on like building house as I tried to add like, I think I tried it like windows like special way, but I do like know how to so just like place windows all over my house, I."
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,Student1 02:27 that you have to take insulation into consideration to like help save energy.
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,Researcher 06:10 it's like the look the facing the direction of the solar panel matters.
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"Student2 06:47 Sometimes it's not gonna be as accurate as ai would be, because ai is just a computer, so it's not actually there to see the front."
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,What do you see the pros and cons about these actions?
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"One student share that his strategy over cutting the energy cost is say that you may, I don't need ac even though you put ac there, but I don't need ac with amaze."
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,And then that kind of energy costs.
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"So this is impossible to do it a with a jacket, the job that tool, right?"
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,So the way I can do it could be it's tied back to your to idea about it is a very precise.
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,it's like the look the facing the direction of the solar panel matters.
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"Sometimes it's not gonna be as accurate as ai would be, because ai is"
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"just a computer, so it's not actually there to see the front."
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,What do you see the pros and cons about these actions?
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"strategy over cutting the energy cost is say that you may, I don't need"
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"ac even though you put ac there, but I don't need ac with amaze."
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,And then that kind of energy costs.
HVAC / thermostat / energy use,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"So this is impossible to do it a with a jacket, the job that tool, right?"
HVAC / thermostat / energy use,Recording 3_ Jose_Transcript.doc,Researcher 01:12 I see what was the first reaction or impression?
HVAC / thermostat / energy use,Recording 3_ Jose_Transcript.doc,"I actually know more engineering, actually, because I'm learning more about like h bag systems and electrical stuff like that."
HVAC / thermostat / energy use,Recording 3_ Jose_Transcript.doc,"Jose (Student) 03:15 so mean for operating characters, there are people who do that?"
HVAC / thermostat / energy use,Recording 3_ Jose_Transcript.doc,"Jose (Student) 03:45 No, at first I searched up like a here place like with normal temperature."
HVAC / thermostat / energy use,Recording 3_ Jose_Transcript.doc,"It was like I Iceland because like I was like I should probably go somewhere colder, so like I don't use a lot of ac but then that was like a bad idea."
HVAC / thermostat / energy use,Recording 3_ Jose_Transcript.doc,"And then I saw like it reserved a lot of energy, it didn't and it didn't like waste like the heater or the ac they save like a lot of energy and use a lot of solar energy."
HVAC / thermostat / energy use,Recording 3_ Jose_Transcript.doc,They alone that energy and then gives you the solution.
HVAC / thermostat / energy use,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc","Your name is a yes, Mackenzie."
HVAC / thermostat / energy use,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",My next question is that what's your first impression when your teacher said or can use AI to design houses in the class?
HVAC / thermostat / energy use,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",Student1 01:55 I didn't know where what stuff we can use to make our energy bills go down.
HVAC / thermostat / energy use,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",Researcher 02:14 That's actually the property that kind of control the installation.
HVAC / thermostat / energy use,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",The solar panels can bring down the energy level of the net.
HVAC / thermostat / energy use,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc","Researcher 02:41 The solar panels, it generates energy."
HVAC / thermostat / energy use,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc","Student1 02:45 Depending on the location of where you put the building at, it differs on how much ac and how much heater you use the."
HVAC / thermostat / energy use,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc","My next question is that what strategy you learned in designing towards the net as the energy, like what strategy worked and did not work?"
HVAC / thermostat / energy use,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc",My next question is that what was your first impression when your teachers say we're gonna learn to design buildings with ai what's your first impression to do like engineering task with ai.
HVAC / thermostat / energy use,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","I honestly I thought it was gonna be like kind of boring, but it was actually quite like fun."
HVAC / thermostat / energy use,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Student1 04:09 like the like about the energy from the like, I don't know how to explain, but it's like, it's like the energy intake like from the house and stuff."
HVAC / thermostat / energy use,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","I can't really get much into it by the definitely learn stuff about like the solar energy about how to conserve it, how like the heating works in different months and like in different places?"
HVAC / thermostat / energy use,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc",You can save on the energy costs.
HVAC / thermostat / energy use,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Student2 04:56 I learned about like polite, like now that ii realized like our country, we use like a lot of like energy like on on heaters and like ac and stuff that's very true."
HVAC / thermostat / energy use,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","We don't like do that much ac when I was young, these days, we all have ac but old days when I was young, no ac at all, we survive that we are okay,"
HVAC / thermostat / energy use,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Student3 05:56 Like the internet, like we talk about like I when we're building the houses like the how to save energy, that's what you mean."
HVAC / thermostat / energy use,Recording 6_Kylie and Mina(2)_Transcript.doc,"remember that your corner energy level high, I."
HVAC / thermostat / energy use,Recording 6_Kylie and Mina(2)_Transcript.doc,The first question is that what a new science or and engineering concepts you learned through the activity?
HVAC / thermostat / energy use,Recording 6_Kylie and Mina(2)_Transcript.doc,"Other than, like, you can save a lot of energy, if you like, install solar panels on your room, light helps to save energy because you collect energy from the sun."
HVAC / thermostat / energy use,Recording 6_Kylie and Mina(2)_Transcript.doc,Probably hard to be like a house that like helps you to collect the energy.
HVAC / thermostat / energy use,Recording 6_Kylie and Mina(2)_Transcript.doc,feel like it was a very good like interactive experience.
HVAC / thermostat / energy use,Recording 6_Kylie and Mina(2)_Transcript.doc,My next question is that what strategies you use or learned when you do that to build the to cut the energy down to zero?
HVAC / thermostat / energy use,Recording 6_Kylie and Mina(2)_Transcript.doc,"Yeah, I think he told me like change the sound direction to like for celebrates was like half of my selling friends were like behind my house and it was like under the shadow, you won't like get any light, so it won't collect any energy."
HVAC / thermostat / energy use,Recording 6_Kylie and Mina(2)_Transcript.doc,"I see, I think this goes back to I think I asked the discussion already about ai hallucination or technically impossible suggestion from ai or do you feel that ai can be hallucinate ing or give you technical impact, impossible suggestions?"
